질문,실제원본정보,검색한정보
Who is eligible to apply for a double major?,https://kau.ac.kr/web/pages/gc95047h.do,https://kau.ac.kr/web/pages/gc95047h.do
When is the application period for a double major?,https://kau.ac.kr/web/pages/gc95047h.do,https://kau.ac.kr/web/pages/gc95047h.do
What are the procedures and methods for applying for a double major?,https://kau.ac.kr/web/pages/gc95047h.do,https://kau.ac.kr/web/pages/gc95047h.do
What are the credits required for a double major?,https://kau.ac.kr/web/pages/gc95047h.do,https://kau.ac.kr/web/pages/gc95047h.do
What are the forms for a double major?,https://kau.ac.kr/web/pages/gc95047h.do,https://kau.ac.kr/web/pages/gc95047h.do
When can I change or cancel my double major?,https://kau.ac.kr/web/pages/gc95047h.do,https://kau.ac.kr/web/pages/gc95047h.do
Are double major courses completed before applying for a double major recognized?,https://kau.ac.kr/web/pages/gc95047h.do,https://kau.ac.kr/web/pages/gc95047h.do
Who can apply for a minor?,https://kau.ac.kr/web/pages/gc81492h.do,https://kau.ac.kr/web/pages/gc81492h.do
When is the minor application period?,https://kau.ac.kr/web/pages/gc81492h.do,https://kau.ac.kr/web/pages/gc81492h.do
What are the procedures and methods for applying for a minor?,https://kau.ac.kr/web/pages/gc81492h.do,https://kau.ac.kr/web/pages/gc81492h.do
What are the credits required for a minor?,https://kau.ac.kr/web/pages/gc81492h.do,https://kau.ac.kr/web/pages/gc81492h.do
What are the forms for minors?,https://kau.ac.kr/web/pages/gc81492h.do,https://kau.ac.kr/web/pages/gc81492h.do
When can I change or cancel my minor?,https://kau.ac.kr/web/pages/gc81492h.do,https://kau.ac.kr/web/pages/gc81492h.do
Are double major courses completed before applying for a minor recognized?,https://kau.ac.kr/web/pages/gc81492h.do,https://kau.ac.kr/web/pages/gc95047h.do
Who is eligible to apply for a criminal record?,https://kau.ac.kr/web/pages/gc45400h.do,https://kau.ac.kr/web/pages/gc45400h.do
When is the application period for criminal change?,https://kau.ac.kr/web/pages/gc45400h.do,https://kau.ac.kr/web/pages/gc45400h.do
What documents do I need to submit to apply for a criminal change?,https://kau.ac.kr/web/pages/gc45400h.do,https://kau.ac.kr/web/pages/gc45400h.do
What is the procedure for applying for a criminal transfer?,https://kau.ac.kr/web/pages/gc45400h.do,https://kau.ac.kr/web/pages/gc45400h.do
How do I obtain a criminal record application form?,https://kau.ac.kr/web/pages/gc45400h.do,https://kau.ac.kr/web/pages/gc45400h.do
"Where should I inquire about applying for a criminal record?""",https://kau.ac.kr/web/pages/gc45400h.do,https://kau.ac.kr/web/pages/gc45400h.do
What is a combined bachelor’s and master’s degree program?,https://kau.ac.kr/web/pages/gc51173h.do,https://kau.ac.kr/web/pages/gc51173h.do
What are the selection and admission procedures for the combined bachelor's and master's degree programs?,https://kau.ac.kr/web/pages/gc51173h.do,https://kau.ac.kr/web/pages/gc51173h.do
What are the admission application and selection conditions for the combined bachelor’s and master’s degree program?,https://kau.ac.kr/web/pages/gc51173h.do,https://kau.ac.kr/web/pages/gc51173h.do
What are the undergraduate graduation requirements?,https://kau.ac.kr/web/pages/gc51173h.do,http://college.kau.ac.kr/web/pages/gc87373h.do
What are the requirements for canceling a combined bachelor's and master's program?,https://kau.ac.kr/web/pages/gc51173h.do,https://kau.ac.kr/web/pages/gc51173h.do
What is the schedule for January of the first semester?,https://kau.ac.kr/web/pages/gc74039h.do,https://kau.ac.kr/web/pages/gc74039h.do
What is the schedule for February of the first semester?,https://kau.ac.kr/web/pages/gc74039h.do,https://kau.ac.kr/web/pages/gc74039h.do
What is the schedule for March of the first semester?,https://kau.ac.kr/web/pages/gc74039h.do,https://kau.ac.kr/web/pages/gc74039h.do
What is the schedule for April of the first semester?,https://kau.ac.kr/web/pages/gc74039h.do,https://kau.ac.kr/web/pages/gc74039h.do
What is the schedule for May of the first semester?,https://kau.ac.kr/web/pages/gc74039h.do,https://kau.ac.kr/web/pages/gc74039h.do
What is the schedule for June of the first semester?,https://kau.ac.kr/web/pages/gc74039h.do,https://kau.ac.kr/web/pages/gc74039h.do
What is the schedule for July of the first semester?,https://kau.ac.kr/web/pages/gc74039h.do,https://kau.ac.kr/web/pages/gc74039h.do
What is my second semester schedule?,https://kau.ac.kr/web/pages/gc74039h.do,https://kau.ac.kr/web/pages/gc74039h.do
What is the 24-year schedule?,https://kau.ac.kr/web/pages/gc74039h.do,https://kau.ac.kr/web/pages/gc74039h.do
What is the purpose of course guidance counseling?,https://kau.ac.kr/web/pages/gc6309h.do,https://kau.ac.kr/web/pages/gc6309h.do
Who is the course guidance consultation for?,https://kau.ac.kr/web/pages/gc6309h.do,https://kau.ac.kr/web/pages/gc6309h.do
How is the course guidance consultation conducted?,https://kau.ac.kr/web/pages/gc6309h.do,https://kau.ac.kr/web/pages/gc6309h.do
What subjects are subject to course guidance counseling?,https://kau.ac.kr/web/pages/gc6309h.do,https://kau.ac.kr/web/pages/gc6309h.do
What happens if I do not complete the course guidance consultation?,https://kau.ac.kr/web/pages/gc6309h.do,https://kau.ac.kr/web/pages/gc6309h.do
Who is the counseling for those with sexual warnings?,https://kau.ac.kr/web/pages/gc6309h.do,https://kau.ac.kr/web/pages/gc6309h.do
How is counseling for those with sexual warnings provided?,https://kau.ac.kr/web/pages/gc6309h.do,https://kau.ac.kr/web/pages/gc6309h.do
What happens if I don’t complete Sexual Warning Counseling?,https://kau.ac.kr/web/pages/gc6309h.do,https://kau.ac.kr/web/pages/gc6309h.do
What are the retake requirements?,https://kau.ac.kr/web/pages/gc61422h.do,https://kau.ac.kr/web/pages/gc61422h.do
What are the restrictions on retaking a course?,https://kau.ac.kr/web/pages/gc61422h.do,https://kau.ac.kr/web/pages/gc61422h.do
How do I handle retake grades?,https://kau.ac.kr/web/pages/gc61422h.do,https://kau.ac.kr/web/pages/gc61422h.do
How do I check for alternative subjects to retake?,https://kau.ac.kr/web/pages/gc61422h.do,https://kau.ac.kr/web/pages/gc61422h.do
What are the criteria for class cancellation?,https://kau.ac.kr/web/pages/gc84448h.do,https://kau.ac.kr/web/pages/gc84448h.do
What are the steps involved in the closing process?,https://kau.ac.kr/web/pages/gc84448h.do,https://kau.ac.kr/web/pages/gc84448h.do
“When will the announcement of the expected course closures be made?”,https://kau.ac.kr/web/pages/gc84448h.do,https://kau.ac.kr/web/pages/gc84448h.do
What are the liberal arts credits for the class of 2023?,https://kau.ac.kr/web/pages/gc15707h.do,https://kau.ac.kr/web/pages/gc86720h.do
What are the liberal arts credits required for the class of 2022?,https://kau.ac.kr/web/pages/gc15707h.do,https://kau.ac.kr/web/pages/gc86720h.do
What are the liberal arts credits required for the class of 2021?,https://kau.ac.kr/web/pages/gc15707h.do,https://kau.ac.kr/web/pages/gc86720h.do
What are the liberal arts credits for the class of 2020?,https://kau.ac.kr/web/pages/gc15707h.do,https://kau.ac.kr/web/pages/gc86720h.do
What are the liberal arts credits for the 2018-2019 school year?,https://kau.ac.kr/web/pages/gc15707h.do,https://kau.ac.kr/web/pages/gc86720h.do
What are the liberal arts credits for the 2013-2017 school year?,https://kau.ac.kr/web/pages/gc15707h.do,https://kau.ac.kr/web/pages/gc86720h.do
What are the liberal arts credits for each department for the class of 2023?,https://kau.ac.kr/web/pages/gc15707h.do,https://kau.ac.kr/web/pages/gc86720h.do
What are the general education credits for each department for the class of 2022?,https://kau.ac.kr/web/pages/gc15707h.do,https://kau.ac.kr/web/pages/gc86720h.do
What are the liberal arts credits for each department for the class of 2021?,https://kau.ac.kr/web/pages/gc15707h.do,https://kau.ac.kr/web/pages/gc86720h.do
What are the general education credits for each department for the class of 2020?,https://kau.ac.kr/web/pages/gc15707h.do,http://college.kau.ac.kr/web/pages/gc87373h.do
What are the liberal arts credits for each department for the 2018-2019 school year?,https://kau.ac.kr/web/pages/gc15707h.do,https://kau.ac.kr/web/pages/gc86720h.do
“What are the liberal arts credits for each department for the 2013-2017 school year?”,https://kau.ac.kr/web/pages/gc15707h.do,https://kau.ac.kr/web/pages/gc86720h.do
How do I complete the community service course?,https://kau.ac.kr/web/pages/gc18564h.do,https://kau.ac.kr/web/pages/gc18564h.do
How are social service courses operated?,https://kau.ac.kr/web/pages/gc18564h.do,https://kau.ac.kr/web/pages/gc18564h.do
What is the recognition period for community service activities?,https://kau.ac.kr/web/pages/gc18564h.do,https://kau.ac.kr/web/pages/gc18564h.do
What is the scope of recognition as a social volunteer activity organization?,https://kau.ac.kr/web/pages/gc18564h.do,https://kau.ac.kr/web/pages/gc18564h.do
What is the scope of non-recognition of community service activities?,https://kau.ac.kr/web/pages/gc18564h.do,https://kau.ac.kr/web/pages/gc18564h.do
What are the documents to be submitted for community service subjects?,https://kau.ac.kr/web/pages/gc18564h.do,https://kau.ac.kr/web/pages/gc18564h.do
“What are the precautions for the community service activity confirmation?”,https://kau.ac.kr/web/pages/gc18564h.do,https://kau.ac.kr/web/pages/gc18564h.do
What is the purpose of course evaluation?,https://kau.ac.kr/web/pages/gc21891h.do,https://kau.ac.kr/web/pages/gc21891h.do
When is the course evaluation period?,https://kau.ac.kr/web/pages/gc21891h.do,https://kau.ac.kr/web/pages/gc21891h.do
What courses are subject to course evaluation?,https://kau.ac.kr/web/pages/gc21891h.do,https://kau.ac.kr/web/pages/gc21891h.do
How to evaluate lectures?,https://kau.ac.kr/web/pages/gc21891h.do,https://kau.ac.kr/web/pages/gc21891h.do
How do I check the course evaluation results?,https://kau.ac.kr/web/pages/gc21891h.do,https://kau.ac.kr/web/pages/gc21891h.do
What are the notes for course evaluation?,https://kau.ac.kr/web/pages/gc21891h.do,https://kau.ac.kr/web/pages/gc21891h.do
What types of leave of absence are there?,https://kau.ac.kr/web/pages/gc86171h.do,https://kau.ac.kr/web/pages/gc86171h.do
When is the application period for leave of absence?,https://kau.ac.kr/web/pages/gc86171h.do,https://kau.ac.kr/web/pages/gc86171h.do
How do I apply for a leave of absence?,https://kau.ac.kr/web/pages/gc86171h.do,https://kau.ac.kr/web/pages/gc86171h.do
How do I confirm approval for leave of absence?,https://kau.ac.kr/web/pages/gc86171h.do,https://kau.ac.kr/web/pages/gc86171h.do
What are the criteria for tuition refund?,https://kau.ac.kr/web/pages/gc86171h.do,https://kau.ac.kr/web/pages/gc63682h.do
What types of return to school are there?,https://kau.ac.kr/web/pages/gc86171h.do,https://kau.ac.kr/web/pages/gc86171h.do
When is the application period for reinstatement?,https://kau.ac.kr/web/pages/gc86171h.do,https://kau.ac.kr/web/pages/gc63682h.do
How do I apply for reinstatement?,https://kau.ac.kr/web/pages/gc86171h.do,https://kau.ac.kr/web/pages/gc63682h.do
How do I confirm approval for reinstatement?,https://kau.ac.kr/web/pages/gc86171h.do,https://kau.ac.kr/web/pages/gc1021h.do
Who is eligible to apply for a repeat semester?,https://kau.ac.kr/web/pages/gc1021h.do,https://kau.ac.kr/web/pages/gc1021h.do
What is the period and method for applying for a repeat semester?,https://kau.ac.kr/web/pages/gc1021h.do,https://kau.ac.kr/web/pages/gc1021h.do
"What documents do I need to submit to apply for a repeat semester, and where do I submit them?",https://kau.ac.kr/web/pages/gc1021h.do,https://kau.ac.kr/web/pages/gc1021h.do
What should applicants for repeat semesters take into account?,https://kau.ac.kr/web/pages/gc1021h.do,https://kau.ac.kr/web/pages/gc1021h.do
How are repeat courses processed for the semester in which I applied for a repeat semester?,https://kau.ac.kr/web/pages/gc1021h.do,https://kau.ac.kr/web/pages/gc1021h.do
Where can I obtain the form related to applying for a repeat semester?,https://kau.ac.kr/web/pages/gc1021h.do,https://kau.ac.kr/web/pages/gc1021h.do
Who is eligible to apply for early graduation?,https://kau.ac.kr/web/pages/gc78248h.do,https://kau.ac.kr/web/pages/gc78248h.do
When is the application period for early graduation?,https://kau.ac.kr/web/pages/gc78248h.do,https://kau.ac.kr/web/pages/gc78248h.do
What is the process for applying for early graduation?,https://kau.ac.kr/web/pages/gc78248h.do,https://kau.ac.kr/web/pages/gc78248h.do
What are the requirements for early graduation?,https://kau.ac.kr/web/pages/gc78248h.do,https://kau.ac.kr/web/pages/gc78248h.do
How do I fill out the form related to a double major when applying for early graduation?,https://kau.ac.kr/web/pages/gc78248h.do,https://kau.ac.kr/web/pages/gc95047h.do
Who is eligible to apply for readmission?,https://kau.ac.kr/web/pages/gc63682h.do,https://kau.ac.kr/web/pages/gc63682h.do
When is the application period for readmission?,https://kau.ac.kr/web/pages/gc63682h.do,https://kau.ac.kr/web/pages/gc63682h.do
What documents do I need to submit to apply for readmission?,https://kau.ac.kr/web/pages/gc63682h.do,https://kau.ac.kr/web/pages/gc63682h.do
What is the readmission process?,https://kau.ac.kr/web/pages/gc63682h.do,https://kau.ac.kr/web/pages/gc63682h.do
How is the semester for readmission determined?,https://kau.ac.kr/web/pages/gc63682h.do,https://kau.ac.kr/web/pages/gc63682h.do
Who is subject to expulsion?,https://kau.ac.kr/web/pages/gc63682h.do,https://kau.ac.kr/web/pages/gc63682h.do
What is the withdrawal application process?,https://kau.ac.kr/web/pages/gc63682h.do,https://kau.ac.kr/web/pages/gc63682h.do
How is tuition refund processed in case of withdrawal?,https://kau.ac.kr/web/pages/gc63682h.do,https://kau.ac.kr/web/pages/gc63682h.do
What documents do I need to submit to apply for withdrawal?,https://kau.ac.kr/web/pages/gc63682h.do,https://kau.ac.kr/web/pages/gc86171h.do
Who is subject to graduation evaluation?,https://kau.ac.kr/web/pages/gc86720h.do,https://kau.ac.kr/web/pages/gc86720h.do
